event_id,event_type,timestamp,amount,customer_id,failure_reason,attempt_count,days_since_last_attempt,customer_history_summary,total_past_payments,past_successful_payments,past_recovery_rate,archetype,did_recover,recovery_probability,recommended_action,policy_decision,executed_action,outcome,revenue_recovered,reasoning_text
ed6651c3-bd54-414b-878e-9c207df23612,overdue_invoice,2026-08-05T04:42:56.758348+00:00,98005.83,cust_slow_b_3001,overdue,2,6.51,"{""total_past_payments"": 12, ""past_successful_payments"": 9, ""past_recovery_rate"": 0.75}",12,9,0.75,slow_but_reliable_payer,1,0.7872,REMINDER,APPROVED,REMINDER,SUCCESS,98005.83,"The invoice of ₹98,005.83 INR is overdue with 2 previous attempt(s). The customer has a solid historical recovery rate of 75.0%, indicating willingness to pay once notified. Sending a formal payment reminder notice is the most effective approach to prompt settlement."
53d9a8cc-e6c1-4fd1-b9c5-9b89fc5c137c,payment_failure,2026-07-23T09:32:38.406642+00:00,1233.39,cust_reliab_4362,insufficient_funds,2,0.56,"{""total_past_payments"": 18, ""past_successful_payments"": 17, ""past_recovery_rate"": 0.9444}",18,17,0.9444,reliable_temporary_glitch,1,0.8662,RETRY,APPROVED,RETRY,SUCCESS,1233.39,The failure reason 'insufficient_funds' appears transient with an estimated recovery probability of 97.0%. The customer maintains a healthy historical success rate of 94.4% across 18 past payments. An automated payment gateway retry within standard cooldown limits is recommended.
c1ec2720-7771-4009-bb00-c2c951bbf123,subscription_failure,2026-08-15T01:14:46.367359+00:00,6983.62,cust_chroni_3370,card_declined,5,5.65,"{""total_past_payments"": 2, ""past_successful_payments"": 0, ""past_recovery_rate"": 0.0}",2,0,0.0,chronic_failer,0,0.0568,STOP,APPROVED,STOP,NO_ACTION,0.0,"The predicted recovery probability is extremely low (5.0%), indicating high likelihood of permanent failure. Given 5 prior failed attempt(s) and poor past payment performance, continuing automated attempts would incur unnecessary fees and annoy the customer. We recommend halting all recovery efforts for this invoice."
4550f746-6e49-42d8-bc68-216cb290bab3,payment_failure,2026-08-17T13:49:58.300521+00:00,2994.29,cust_chroni_1858,insufficient_funds,4,4.53,"{""total_past_payments"": 2, ""past_successful_payments"": 0, ""past_recovery_rate"": 0.0}",2,0,0.0,chronic_failer,0,0.0697,STOP,APPROVED,STOP,NO_ACTION,0.0,"The predicted recovery probability is extremely low (8.7%), indicating high likelihood of permanent failure. Given 4 prior failed attempt(s) and poor past payment performance, continuing automated attempts would incur unnecessary fees and annoy the customer. We recommend halting all recovery efforts for this invoice."
c335cb79-8cb7-4218-9285-f64b226cbd26,overdue_invoice,2026-08-19T14:58:09.836676+00:00,50344.77,cust_slow_b_4629,overdue,2,17.83,"{""total_past_payments"": 7, ""past_successful_payments"": 6, ""past_recovery_rate"": 0.8571}",7,6,0.8571,slow_but_reliable_payer,0,0.7258,REMINDER,APPROVED,REMINDER,FAILED,0.0,"The invoice of ₹50,344.77 INR is overdue with 2 previous attempt(s). The customer has a solid historical recovery rate of 85.7%, indicating willingness to pay once notified. Sending a formal payment reminder notice is the most effective approach to prompt settlement."
8b07573c-e122-486a-942d-22bf49f79f5b,payment_failure,2026-08-07T18:56:26.054285+00:00,96762.36,cust_slow_b_2768,overdue,1,29.96,"{""total_past_payments"": 16, ""past_successful_payments"": 13, ""past_recovery_rate"": 0.8125}",16,13,0.8125,slow_but_reliable_payer,1,0.8215,PAYMENT_LINK,APPROVED,PAYMENT_LINK,SUCCESS,96762.36,"This is a high-value transaction of ₹96,762.36 INR that requires customer-initiated 2FA authentication. Automated gateway retries frequently fail for transactions of this scale due to bank security policies. Sending a secure payment link directly to the customer provides a seamless authentication flow and yields optimal recovery."
0986ebb6-432b-4ade-a54d-257a9d96b13a,checkout_abandonment,2026-08-19T02:33:43.354124+00:00,7475.84,cust_checko_9984,abandoned,1,0.55,"{""total_past_payments"": 9, ""past_successful_payments"": 5, ""past_recovery_rate"": 0.5556}",9,5,0.5556,checkout_abandoner,0,0.7133,REMINDER,APPROVED,REMINDER,FAILED,0.0,"The customer abandoned checkout for an order worth ₹7,475.84 INR. Since no transaction was submitted to the payment gateway, automated retries are inapplicable. We recommend sending a targeted checkout reminder notice with an instant payment link."
9471f164-4951-4bc6-88a9-5ad1640a1bfa,payment_failure,2026-08-08T14:59:15.619046+00:00,11999.89,cust_reliab_4522,network_error,1,1.72,"{""total_past_payments"": 45, ""past_successful_payments"": 43, ""past_recovery_rate"": 0.9556}",45,43,0.9556,reliable_temporary_glitch,1,0.7883,RETRY,APPROVED,RETRY,SUCCESS,11999.89,The failure reason 'network_error' appears transient with an estimated recovery probability of 83.4%. The customer maintains a healthy historical success rate of 95.6% across 45 past payments. An automated payment gateway retry within standard cooldown limits is recommended.
dec91492-478e-49d2-b39b-e92475475a5e,subscription_failure,2026-07-27T16:59:21.640958+00:00,114714.29,cust_high_v_5176,network_error,3,0.74,"{""total_past_payments"": 18, ""past_successful_payments"": 12, ""past_recovery_rate"": 0.6667}",18,12,0.6667,high_value_link_responder,0,0.5198,PAYMENT_LINK,APPROVED,PAYMENT_LINK,FAILED,0.0,"This is a high-value transaction of ₹114,714.29 INR that requires customer-initiated 2FA authentication. Automated gateway retries frequently fail for transactions of this scale due to bank security policies. Sending a secure payment link directly to the customer provides a seamless authentication flow and yields optimal recovery."
9d73affc-1f98-40bc-af48-cc32fadeaea2,payment_failure,2026-08-18T17:36:19.847979+00:00,1900.18,cust_reliab_6400,insufficient_funds,2,1.64,"{""total_past_payments"": 45, ""past_successful_payments"": 39, ""past_recovery_rate"": 0.8667}",45,39,0.8667,reliable_temporary_glitch,1,0.9723,RETRY,APPROVED,RETRY,SUCCESS,1900.18,The failure reason 'insufficient_funds' appears transient with an estimated recovery probability of 99.9%. The customer maintains a healthy historical success rate of 86.7% across 45 past payments. An automated payment gateway retry within standard cooldown limits is recommended.
